nombre,tipo,ciudad,barrio,link,Precio,Área,Baños,Habitaciones,Entrega,Parqueaderos,Estudio,cuarto_util
El Jordán,Lotes,La Ceja,,https://www.informeinmobiliario.com/lotes-venta-la-ceja/proyecto/1439,6490000000.0,1270.0,No info,No info,No info,No info,No info,No info
El Jordán,Lotes,La Ceja,,https://www.informeinmobiliario.com/lotes-venta-la-ceja/proyecto/1439,64900000000.0,1270.0,No info,No info,No info,No info,No info,No info
Linz Living,Apartamentos,Envigado,Cumbres,https://www.informeinmobiliario.com/apartamentos-venta-envigado-cumbres/proyecto/1497,668550000.0,89.0,3,2,No info,No info,1,No info
Linz Living,Apartamentos,Envigado,Cumbres,https://www.informeinmobiliario.com/apartamentos-venta-envigado-cumbres/proyecto/1497,6685500000.0,92.0,3,2,No info,No info,1,No info
Linz Living,Apartamentos,Envigado,Cumbres,https://www.informeinmobiliario.com/apartamentos-venta-envigado-cumbres/proyecto/1497,66855000000.0,106.0,3,3,No info,No info,1,No info
Linz Living,Apartamentos,Envigado,Cumbres,https://www.informeinmobiliario.com/apartamentos-venta-envigado-cumbres/proyecto/1497,668550000000.0,132.0,4,3,No info,No info,1,No info
Le Mont Comercio,Oficinas,Envigado,Alto de las Palmas,https://www.informeinmobiliario.com/oficinas-venta-envigado-alto-de-las-palmas/proyecto/1526,801762500.0,87.0,No info,No info,No info,1,No info,No info
Le Mont Comercio,Oficinas,Envigado,Alto de las Palmas,https://www.informeinmobiliario.com/oficinas-venta-envigado-alto-de-las-palmas/proyecto/1526,869867000.0,103.0,No info,No info,No info,1,No info,No info
Cedro Azul,Apartamentos,Envigado,Loma de Las Brujas,https://www.informeinmobiliario.com/apartamentos-venta-envigado-loma-de-las-brujas/proyecto/600,779000000.0,90.0,2,3,No info,No info,1,No info
Cedro Azul,Apartamentos,Envigado,Loma de Las Brujas,https://www.informeinmobiliario.com/apartamentos-venta-envigado-loma-de-las-brujas/proyecto/600,7790000000.0,110.0,3,3,No info,1,1,No info
Cedro Azul,Apartamentos,Envigado,Loma de Las Brujas,https://www.informeinmobiliario.com/apartamentos-venta-envigado-loma-de-las-brujas/proyecto/600,77900000000.0,125.0,4,3,No info,1,1,No info
Cedro Azul,Apartamentos,Envigado,Loma de Las Brujas,https://www.informeinmobiliario.com/apartamentos-venta-envigado-loma-de-las-brujas/proyecto/600,779000000000.0,148.0,4,3,No info,1,1,No info
Calmo,Apartamentos,El Retiro,Vía Circunvalar,https://www.informeinmobiliario.com/apartamentos-venta-el-retiro-via-circunvalar/proyecto/1289,785190800.0,93.0,2,1,2025,2,1,No info
Calmo,Apartamentos,El Retiro,Vía Circunvalar,https://www.informeinmobiliario.com/apartamentos-venta-el-retiro-via-circunvalar/proyecto/1289,7851908000.0,95.0,3,2,2025,2,1,No info
Calmo,Apartamentos,El Retiro,Vía Circunvalar,https://www.informeinmobiliario.com/apartamentos-venta-el-retiro-via-circunvalar/proyecto/1289,78519080000.0,100.0,3,2,2025,2,1,No info
Calmo,Apartamentos,El Retiro,Vía Circunvalar,https://www.informeinmobiliario.com/apartamentos-venta-el-retiro-via-circunvalar/proyecto/1289,785190800000.0,105.0,3,2,2025,2,1,No info
Calmo,Apartamentos,El Retiro,Vía Circunvalar,https://www.informeinmobiliario.com/apartamentos-venta-el-retiro-via-circunvalar/proyecto/1289,7851908000000.0,105.0,3,2,2025,2,1,No info
Bosques del Alto,Lotes,Envigado,Alto de las Palmas,https://www.informeinmobiliario.com/lotes-venta-envigado-alto-de-las-palmas/proyecto/1520,770000000.0,658.0,No info,No info,No info,No info,No info,No info
Bosques del Alto,Lotes,Envigado,Alto de las Palmas,https://www.informeinmobiliario.com/lotes-venta-envigado-alto-de-las-palmas/proyecto/1520,7700000000.0,1516.0,No info,No info,No info,No info,No info,No info
