nombre,tipo,ciudad,barrio,link,Precio,Área,Baños,Habitaciones,Entrega,Parqueaderos,Estudio,cuarto_util
Armonia,Apartamentos,Rionegro,V. Fontibon,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-v-fontibon/proyecto/752,3214000000.0,62.0,2,3,2024,1,1,No info
Reserva San Lorenzo,Lotes,Caldas (Manizales),Viterbo,https://www.informeinmobiliario.com/lotes-venta-caldas-manizales-viterbo/proyecto/1506,241400000.0,1207.0,No info,No info,2024,No info,No info,No info
Reserva San Lorenzo,Lotes,Caldas (Manizales),Viterbo,https://www.informeinmobiliario.com/lotes-venta-caldas-manizales-viterbo/proyecto/1506,700400000.0,3502.0,No info,No info,2024,No info,No info,No info
Majagua,Apartamentos,Bello,Primavera,https://www.informeinmobiliario.com/apartamentos-venta-bello-primavera/proyecto/973,219400000.0,41.0,1,1,2027,No info,No info,No info
Majagua,Apartamentos,Bello,Primavera,https://www.informeinmobiliario.com/apartamentos-venta-bello-primavera/proyecto/973,2194000000.0,60.0,2,3,2027,No info,No info,No info
Solana,Apartamentos,Bello,Santa Ana,https://www.informeinmobiliario.com/apartamentos-venta-bello-santa-ana/proyecto/1214,229000000.0,50.0,2,2,No info,No info,1,No info
Awa,Apartamentos,Sabaneta,Ancón Sur,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-ancon-sur/proyecto/918,300513300.0,45.0,2,1,No info,1,No info,No info
Solana,Apartamentos,Bello,Santa Ana,https://www.informeinmobiliario.com/apartamentos-venta-bello-santa-ana/proyecto/1214,2290000000.0,51.0,2,2,No info,No info,1,No info
Solana,Apartamentos,Bello,Santa Ana,https://www.informeinmobiliario.com/apartamentos-venta-bello-santa-ana/proyecto/1214,22900000000.0,51.0,2,2,No info,No info,1,No info
Awa,Apartamentos,Sabaneta,Ancón Sur,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-ancon-sur/proyecto/918,3005133000.0,58.0,2,2,No info,1,No info,No info
Awa,Apartamentos,Sabaneta,Ancón Sur,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-ancon-sur/proyecto/918,30051330000.0,70.0,2,3,No info,1,1,No info
Awa,Apartamentos,Sabaneta,Ancón Sur,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-ancon-sur/proyecto/918,300513300000.0,70.0,2,3,No info,1,1,No info
Anaconas,Apartamentos,La Estrella,La Tablaza,https://www.informeinmobiliario.com/apartamentos-venta-la-estrella-la-tablaza/proyecto/1473,219000000.0,50.0,1,3,No info,No info,No info,No info
Anaconas,Apartamentos,La Estrella,La Tablaza,https://www.informeinmobiliario.com/apartamentos-venta-la-estrella-la-tablaza/proyecto/1473,2190000000.0,50.0,1,3,No info,No info,No info,No info
Natura Flex,Apartamentos,Sabaneta,Las Lomitas,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-las-lomitas/proyecto/1254,364200000.0,58.0,2,2,2025,1,No info,No info
Natura Flex,Apartamentos,Sabaneta,Las Lomitas,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-las-lomitas/proyecto/1254,3642000000.0,68.0,2,2,2025,1,1,No info
Natura Flex,Apartamentos,Sabaneta,Las Lomitas,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-las-lomitas/proyecto/1254,36420000000.0,75.0,2,2,2025,1,1,No info
Natura Flex,Apartamentos,Sabaneta,Las Lomitas,https://www.informeinmobiliario.com/apartamentos-venta-sabaneta-las-lomitas/proyecto/1254,364200000000.0,75.0,2,2,2025,1,1,No info
Yerbabuena,Lotes,El Retiro,Loma El Escobero,https://www.informeinmobiliario.com/lotes-venta-el-retiro-loma-el-escobero/proyecto/1109,738385000.0,2503.0,No info,No info,No info,No info,No info,No info
